conversation_id_str,created_at,tweet_url,full_text
693929068706680832,2016-01-31 22:49:17+00:00,https://x.com/undefined/status/693929068706680832,Biodisc bantu menurunkan aneka penyakit seperti diabetes asam urat nyeri sendi. #FOLLOWBALIK https://t.co/rFiregFjQV #SOCIALMEDIA
693929120531517440,2016-01-31 22:49:29+00:00,https://x.com/undefined/status/693929120531517440,Mempercepat penutupan luka pada penderita Diabetes serta menghilangkan bau pada luka gangren #salingfollow #socialmedia #srudukfollow
693929156493488128,2016-01-31 22:49:38+00:00,https://x.com/undefined/status/693929156493488128,BIODISC selain asam urat darah tinggi dan reumatik JUGA DAPAT MENYEMBUHKAN DIABETES @JUAL_BELI https://t.co/a6HBUxQoXQ #SOCIALMEDIA
693929954015367169,2016-01-31 22:52:48+00:00,https://x.com/undefined/status/693929954015367169,okezonenews : Teguk Air Putih Hangat Pagi Hari Cegah Diabetes https://t.co/7no4Wd3vaO https://t.co/YQg4xy7IZR) https://t.co/iw9aWcWK9B
693935152460750848,2016-01-31 23:13:27+00:00,https://x.com/undefined/status/693935152460750848,Jual Herbal Diabetes Termurah cod di Semarang PIN:54E60E2B - 083842437980 #Grosir #Diabetes #Semarang
693935204788908033,2016-01-31 23:13:40+00:00,https://x.com/undefined/status/693935204788908033,Grosir Herbal Diabetes cod di Sidoarjo PIN:7E845ADA - SMS/WA: 081333149409 #Diabetes #Sidoarjo
693927113225695232,2016-01-31 23:18:01+00:00,https://x.com/undefined/status/693936302497013760,@Fidly_JKT48 iya aku juga kalo deket2 sama kamu takut diabetes :v btw selamat pagi hehe 
693937392156168192,2016-01-31 23:22:21+00:00,https://x.com/undefined/status/693937392156168192,Jual Herbal Diabetes Termurah kirim ke Bekasi PIN:59F0BB4D - WA: 085710299177 #Grosir #Diabetes #Bekasi
693938367361191936,2016-01-31 23:26:14+00:00,https://x.com/undefined/status/693938367361191936,Teguk Air Putih Hangat Pagi Hari Cegah Diabetes https://t.co/SxI70xw4NS #obatherbal
693938381244346368,2016-01-31 23:26:17+00:00,https://x.com/undefined/status/693938381244346368,Teguk Air Putih Hangat Pagi Hari Cegah Diabetes https://t.co/1hbXB16nXc #DetikMakasar
693938691228704770,2016-01-31 23:27:31+00:00,https://x.com/undefined/status/693938691228704770,Penghidap diabetes tahap dua berisiko alami masalah tendon https://t.co/UiDbzJWENt
693939917018271744,2016-01-31 23:32:23+00:00,https://x.com/undefined/status/693939917018271744,KATAKAN SELAMAT TINGGAL TERHADAP OBESITAS DAN DIABETES..!!! INILAH RESEP HERBALNYA....!! +AMPUH MENGATASI... https://t.co/c9VvDN3j4p
693943323132694529,2016-01-31 23:45:55+00:00,https://x.com/undefined/status/693943323132694529,Semakin besar ukuran dada semakin besar pula risiko terkena penyakit diabetes tipe 2. [Penelitian Ilmu Keperawatan]
693943571389394944,2016-01-31 23:46:54+00:00,https://x.com/undefined/status/693943571389394944,Grosir Herbal Diabetes Tiens COD di Sidoarjo PIN:7E845ADA - SMS/WA: 081333149409 #Diabetes #Termurah #Sidoarjo
693943663836041216,2016-01-31 23:47:16+00:00,https://x.com/undefined/status/693943663836041216,Untuk menurunkan gula darah tambahkan 4 sendok teh cuka di menu diet anda Hal tersebut dapat membantu mencegah diabetes #Tips
2006385725751832874,2025-12-31 15:23:28+00:00,https://x.com/undefined/status/2006385725751832874,Diabetes ni noma kuliko ukimwi.
2006383283526156444,2025-12-31 15:28:33+00:00,https://x.com/undefined/status/2006387003684983197,@amoraladeize lucu banget ini readersnya diabetes tolong bacanya
2006243929667080206,2025-12-31 15:39:14+00:00,https://x.com/undefined/status/2006389693257310329,@detikcom Gak gemuk/obesitas bukan berarti lo aman dari ancaman vonis diabetes. Catat.
2006243929667080206,2025-12-31 15:43:56+00:00,https://x.com/undefined/status/2006390877057347864,@brojong20 @kerjadarirumahq @detikcom Ya kopi hitam umumnya aman karena tidak memengaruhi gula darah secara signifikan dan bahkan bisa menurunkan risiko diabetes tipe 2 menurut beberapa studi. Maksimal 3-4 gelas per hari (sekitar 400mg kafein) untuk dewasa sehat. Sesuaikan dengan kondisi kesehatanmu dan konsultasi
2005970885891834124,2025-12-31 15:46:41+00:00,https://x.com/undefined/status/2006391568962564352,@intinyadeh Minuman rasa susu jir menuju indonesia diabetes 2045
2006392707120529690,2025-12-31 15:51:13+00:00,https://x.com/undefined/status/2006392707120529690,https://t.co/ajQ00zHhLP : Oh satu kekuatan ajaib yang benar-benar aku inginkan adalah menyembuhkan diriku sendiri. Seperti penyembuhan medis cukup dengan sentuhan dan semuanya hilang. Misalnya diabetes sentuh langsung hilang. Kanker sentuh langsung hilang. Aku
2005484604040569085,2025-12-31 16:10:07+00:00,https://x.com/undefined/status/2006397466904830203,@raisolali @txtanrrfh @sdenta Kadar gula 14g... apa ra nimbun diabetes
2006399974519472384,2025-12-31 16:20:05+00:00,https://x.com/undefined/status/2006399974519472384,Baru awal tahun udah di kasih yang maniezz maniezz bisa diabetes akut inih 
2006398228900815093,2025-12-31 16:35:23+00:00,https://x.com/undefined/status/2006403823506797043,@Siam_Paragon Haish manisnya ni boleh kena diabetes ni KENGNAMPING AT SIAM PARAGON #SiamParagonxKengNamping
2006397470897557801,2025-12-31 16:42:17+00:00,https://x.com/undefined/status/2006405560070246837,@tanyarlfes Gagal ginjal atau ga diabetes lagi ngincer anda tuh
2006356290629726444,2025-12-31 17:04:04+00:00,https://x.com/undefined/status/2006411043208311285,@jaegyeonlovebot HAPPY NEW YEAR UTK JGEL (DAN EL JUGA) mesra-mesraan sampe bikin diabetes (terlalu manis)
2006419503010435391,2025-12-31 17:37:41+00:00,https://x.com/undefined/status/2006419503010435391,Paling gagal ginjal lever diabetes trus biasanya ke jantung juga
2006432071330443618,2025-12-31 18:37:14+00:00,https://x.com/undefined/status/2006434487857811599,@xaxademavie ya iya sih soalnya manis banget ntuh. bikin diabetes 
2006280769644482806,2025-12-31 18:49:51+00:00,https://x.com/undefined/status/2006437665537970377,@deadst4r Aapko diabetes hey kya?? Pairon mein mehendi?
2006441322568441969,2025-12-31 19:04:23+00:00,https://x.com/undefined/status/2006441322568441969,dia style ngortis aja nyimup bgt ini dikasi outfit kyut kyut gini apa ga diabetes kita ini
2006460393829666844,2025-12-31 21:05:06+00:00,https://x.com/undefined/status/2006471701497000392,@MDNnewss Fotsek wena le sugar diabetes
2006460393829666844,2025-12-31 21:17:04+00:00,https://x.com/undefined/status/2006474713137295457,@MandDLw @MDNnewss Awu ntombo sugar diabetes ke uyathukisa
2006389419377603055,2025-12-31 23:21:00+00:00,https://x.com/undefined/status/2006505901595963534,@yeppiclt gapapa aku diabetes asal penyebabnya kalian 
2007128440005370173,2026-01-02 16:34:45+00:00,https://x.com/undefined/status/2007128440005370173,MANISSSSS BANGET INI diabetes gua bacanya 
2007132408483815777,2026-01-02 16:50:31+00:00,https://x.com/undefined/status/2007132408483815777,takut diabetes kalo lama lama dirumah
2007133218194276546,2026-01-02 16:53:44+00:00,https://x.com/undefined/status/2007133218194276546,Cek Ottai CGM Continous Glucose Monitoring alat cek gula diabetes tanpa tusuk jari dengan harga Rp505.000. Dapatkan di Shopee sekarang! https://t.co/VkIbkjq8Xs https://t.co/YrrDEbZuxR
2006655815521059312,2026-01-02 16:59:58+00:00,https://x.com/undefined/status/2007134785035219121,@racoonbun EMBERAN!! mana hari ini udah mulai manis-manis lagi curiga besok penonton kena diabetes pas liat mereka 
