conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2017511230987243706,Sun Feb 01 23:40:05 +0000 2026,0,@keshikiayame Mau Tiramisu Brownies rasa fav ini dan pertama kali dapet tuh pas bapak sakit dijenguk ada yang bawain ini. Karena bapak diabetes ya ndak boleh makan. Kita anak2nya yang makan. Oh my gosh best brownies ever. Nikmat belum ada yang ngalahin. Di Cirebon ada jadi ga perlu jastip2,2018107114040995991,,keshikiayame,in,,0,0,0,https://x.com/undefined/status/2018107114040995991,1598937777839538176,
2017655354503626996,Sun Feb 01 23:31:51 +0000 2026,0,@sundari1552748 Iya betul pastikan ngak penyakit diabetes iya...takut kalau ada diabetes memeknya dihurung semut log ....,2018105041438302317,,sundari1552748,in,,0,0,0,https://x.com/undefined/status/2018105041438302317,1053810774597021696,
2018099803604099466,Sun Feb 01 23:11:02 +0000 2026,0,Ancaman Komplikasi Diabetes di Balik Anggapan 'Boleh Gemuk Asal Sehat' https://t.co/HAF1a5LENy,2018099803604099466,,,in,,0,0,0,https://x.com/undefined/status/2018099803604099466,104446991,
2017901004336115991,Sun Feb 01 23:08:41 +0000 2026,0,@cursedkidd jgn nnti km diabetes,2018099211338981438,,cursedkidd,in,,0,0,0,https://x.com/undefined/status/2018099211338981438,1323163590140948480,
2018090686638428394,Sun Feb 01 22:34:48 +0000 2026,0,Riset UNG Ikan Hulu u Berpotensi untuk Perawatan Luka Diabetes via @darilautID https://t.co/bb32hU2F86,2018090686638428394,,,in,,0,0,0,https://x.com/undefined/status/2018090686638428394,285553204,
2018002042833527258,Sun Feb 01 22:34:29 +0000 2026,3,@Fahrihamzah Perut semakin tambun isinya uang haram hasil menjilat tunggu diabetes datang.. Selamat menikmati.,2018090604492935369,,Fahrihamzah,in,,0,0,1,https://x.com/undefined/status/2018090604492935369,1587924393002291201,
2017970901837578367,Sun Feb 01 22:19:22 +0000 2026,0,@poetryuds nanti diabetes aku ,2018086803665010803,,poetryuds,in,,0,0,0,https://x.com/undefined/status/2018086803665010803,955047679,
2017995697191317682,Sun Feb 01 22:02:16 +0000 2026,0,@shinyutsel @TWS_PLEDIS yang ini manisnya gak bikin diabetes wkwkwk ,2018082499247948269,,shinyutsel,in,,0,0,0,https://x.com/undefined/status/2018082499247948269,1833091335571820544,
2018081868604981527,Sun Feb 01 21:59:46 +0000 2026,0,diabetes aku liat ini pagi lucu bgt jahsjaha,2018081868604981527,,,in,,0,0,0,https://x.com/undefined/status/2018081868604981527,1821880280132808706,
2017780997409149280,Sun Feb 01 18:36:35 +0000 2026,0,@si_demplonn Habis makan ini diabetes ,2018030735840686313,,si_demplonn,in,,0,0,0,https://x.com/undefined/status/2018030735840686313,1992913780616118272,
2017675036229083408,Sun Feb 01 18:18:16 +0000 2026,1,@halfaehalfhuman Main to khud bnati ammi khatin din ba din moti hoti ja rahi hain kio k un sy raha nahin jata hay dieting aside diabetes hy wja Khana km karti he nai hain Bohat bad parhezi kartin Jab me na dun to kehtin Tum nafarman ho Hahahahaha,2018026127797956796,,halfaehalfhuman,in,,0,1,0,https://x.com/undefined/status/2018026127797956796,1126204478,
2017850383218135090,Sun Feb 01 18:03:53 +0000 2026,0,@seramorrr Enak banget tpi bikin diabetes,2018022508491051518,,serakgue,in,,0,0,0,https://x.com/undefined/status/2018022508491051518,1476787442367668226,
2018004776408305758,Sun Feb 01 17:22:59 +0000 2026,0,@AA_AlyaJKT48 sama sama sayang!!!! good night sayangku makasii gara gara kamu live rasa cape aku berkurang banyak‍️‍ lov u cintaku‍️‍ manis bgt senyuman km gakuat liat takut diabetes,2018012216117911779,,AA_AlyaJKT48,in,,0,0,0,https://x.com/undefined/status/2018012216117911779,1690573763275096064,
2017849636514639954,Sun Feb 01 17:22:28 +0000 2026,0,@rayestu Yg penting bisa ngeklaim negara paling bahagia di depan negara barat. Padahal orang barat duit untuk makan aja bisa kena diabetes dan stroke sehari. Lah kita makan nasi garam dikira bersyukur terpaksa bjiiiirrr,2018012085993787593,,rayestu,in,,0,0,0,https://x.com/undefined/status/2018012085993787593,1926317903772528640,
2018006020048720220,Sun Feb 01 16:58:22 +0000 2026,1,cheesecake tiramisu laban san sebastian harr cheez khanay ka dil kar raha fuck hyperglycemia fuck diabetes,2018006020048720220,,,in,,0,0,0,https://x.com/undefined/status/2018006020048720220,1435942944004100096,
2017717500268691488,Sun Feb 01 16:25:07 +0000 2026,0,@ilhampurnama887 dari dulu banyak korban.ada yg dijebak bank rampok ada yg salah krn kurang ngerti ada juga yg terbantu sistem kpr. harusnya negara beri pendidikan pada rakyat dalam banyak hal.supaya tidak terjebak kpr spy tidak diabetes krn jajan makan minum manis spy tidak bodoh tidak miskin.,2017997650159927305,,ilhampurnama887,in,,0,0,0,https://x.com/undefined/status/2017997650159927305,1838417272320462851,
2017766217873051905,Sun Feb 01 16:10:42 +0000 2026,0,@Rifky_Mozzza @bardanslm bukannya kecover yah kalau check-up rutin pakai BPJS? soalnya papaku rutin check-up ke dokter karena punya hipertensi dan diabetes sekalian ambil obat hipertensi semuanya di cover oleh BPJS kok,2017994024288968938,,Rifky_Mozzza,in,,0,0,0,https://x.com/undefined/status/2017994024288968938,1256572811679657986,
2018468742083276967,Mon Feb 02 23:37:04 +0000 2026,1,Manfaat jalan kaki 2000 hingga 10000 Langkah sehari 1. 2000 LANGKAH (15 menit) -Metabolisme Bangun - Bakar 60-80 kalori tubuh keluar dari mode hemat energi -Gula Darah Turun - Cocok buat yang diabetes gula langsung drop setelah makan -Pencernaan Lancar - Usus bergerak ,2018468742083276967,,,in,,0,0,0,https://x.com/undefined/status/2018468742083276967,1671752465166008321,
2018455898201755898,Mon Feb 02 22:46:04 +0000 2026,0,Nah ini bisa juga jd alasan juga ke dinsos nanti pas ngurus nya karena pasien tersebut pasien rutin kontrol entah hipertensi atau diabetes melitus atau yg lain nanti bisa minta surat keterangan diagnosa. Semangat kawan2 di era seperti ini masih harus berjuang perkara ini,2018455908846801253,,elizeminrin,in,,0,0,0,https://x.com/undefined/status/2018455908846801253,224523153,
